age,tenure,vehicle_type,claims_history
79,11,Truck,0
52,18,Truck,0
65,6,Motorcycle,0
79,19,Sedan,0
42,5,Sedan,1
52,0,SUV,0
42,16,Truck,0
46,10,SUV,0
35,17,SUV,1
63,16,Sedan,0
35,6,Motorcycle,1
19,16,Motorcycle,0
71,19,Sedan,3
52,8,Motorcycle,0
33,16,SUV,0
78,19,Truck,0
58,7,Sedan,1
53,16,Truck,1
50,6,Motorcycle,0
21,0,Truck,0
50,12,Motorcycle,1
31,18,Motorcycle,1
38,18,SUV,0
65,16,Motorcycle,0
37,12,SUV,1
73,15,SUV,1
25,7,SUV,1
24,18,Sedan,0
20,17,Sedan,0
34,0,Motorcycle,1
50,13,SUV,1
65,18,Sedan,1
29,14,SUV,1
76,17,Truck,0
68,1,Truck,0
39,16,Truck,0
72,17,Motorcycle,0
39,5,SUV,0
63,18,Truck,1
47,3,Sedan,0
55,0,Truck,1
55,7,Truck,0
62,6,Truck,2
68,2,Motorcycle,0
71,9,Sedan,1
25,9,SUV,0
44,18,Sedan,0
44,13,SUV,0
51,1,Motorcycle,0
38,0,Motorcycle,0
47,17,Motorcycle,0
50,6,Motorcycle,1
45,7,SUV,2
64,0,Truck,0
50,2,SUV,0
22,7,Sedan,0
77,14,Motorcycle,1
78,4,Motorcycle,1
65,2,Sedan,0
36,18,SUV,1
21,0,Truck,0
52,14,Truck,0
66,7,Sedan,0
34,1,Truck,0
61,2,SUV,1
45,13,SUV,1
47,13,Sedan,1
46,10,SUV,1
63,15,Motorcycle,1
70,3,Sedan,1
23,19,SUV,1
52,4,Sedan,2
77,13,Truck,1
58,15,SUV,0
54,17,Motorcycle,0
41,6,SUV,0
46,9,Sedan,1
66,6,Sedan,0
63,0,SUV,3
70,18,Motorcycle,1
48,15,Motorcycle,0
52,18,Motorcycle,1
77,3,Sedan,1
50,17,SUV,0
69,1,Truck,0
78,0,Sedan,1
38,14,Motorcycle,1
49,4,SUV,0
40,19,Motorcycle,1
50,10,Truck,0
20,9,Motorcycle,1
35,1,Motorcycle,0
42,2,Truck,0
59,11,SUV,1
48,19,Sedan,0
71,4,SUV,1
75,4,Truck,0
20,5,Motorcycle,0
57,8,SUV,0
63,1,Sedan,0
41,11,Truck,0
67,2,SUV,1
49,19,Sedan,0
64,11,Truck,0
39,16,Sedan,0
40,9,Truck,0
19,13,Motorcycle,1
44,16,SUV,2
59,17,Sedan,1
19,18,Truck,1
43,16,Sedan,0
34,13,Sedan,0
57,8,SUV,0
50,7,Motorcycle,0
26,1,Sedan,0
60,12,Truck,0
71,6,Truck,2
65,8,Motorcycle,0
56,10,Truck,2
46,13,Motorcycle,0
59,3,Truck,0
72,12,SUV,0
43,1,Sedan,0
52,4,SUV,1
67,10,Sedan,0
42,5,Sedan,1
41,17,Sedan,0
30,9,SUV,0
77,3,Sedan,1
75,8,SUV,2
24,5,Motorcycle,0
74,1,Truck,1
53,16,Truck,2
62,4,Sedan,0
37,5,SUV,2
18,11,Truck,0
25,9,SUV,0
63,5,SUV,2
33,7,Sedan,0
31,1,Truck,0
29,11,Sedan,1
68,12,Sedan,0
40,6,Truck,0
32,9,Truck,2
45,12,Motorcycle,0
51,16,Motorcycle,2
19,13,SUV,0
49,1,Truck,0
40,10,Motorcycle,1
39,0,SUV,0
68,18,SUV,1
42,3,SUV,0
75,18,Motorcycle,1
79,10,Truck,0
78,7,Sedan,0
39,10,SUV,1
75,3,Motorcycle,2
75,16,Motorcycle,1
39,6,Sedan,0
66,7,Sedan,0
69,2,Motorcycle,1
59,1,Truck,2
23,14,Sedan,1
32,4,Motorcycle,0
71,0,Sedan,0
60,3,Truck,0
77,14,SUV,1
54,19,Sedan,1
50,18,Truck,0
25,2,Motorcycle,1
70,19,Sedan,2
77,10,Sedan,1
61,16,Motorcycle,1
61,12,SUV,1
22,10,Motorcycle,2
56,1,Sedan,0
21,8,Motorcycle,1
23,1,Truck,0
62,8,Motorcycle,0
49,8,Sedan,0
69,7,Motorcycle,1
47,16,SUV,0
64,0,Motorcycle,0
52,10,SUV,0
72,7,Truck,0
57,9,SUV,0
69,6,Motorcycle,0
33,2,Sedan,0
30,2,SUV,1
67,17,Truck,1
77,4,SUV,0
59,11,SUV,1
47,11,SUV,1
36,18,Truck,0
34,5,Motorcycle,1
73,1,SUV,0
36,11,SUV,0
45,18,Sedan,0
75,4,Truck,2
72,11,SUV,0
43,16,Truck,0
54,16,SUV,0
43,9,Motorcycle,1
70,16,Motorcycle,1
79,14,SUV,0
40,11,Motorcycle,1
26,15,SUV,0
29,18,Motorcycle,1
70,7,Sedan,1
18,16,Sedan,2
75,4,Sedan,0
75,15,Truck,1
18,5,Truck,1
64,7,Sedan,1
51,17,Truck,1
49,11,Motorcycle,1
79,14,SUV,0
71,8,SUV,1
65,12,SUV,1
42,14,Sedan,0
57,9,Truck,0
62,15,Motorcycle,0
70,6,Motorcycle,0
18,16,Sedan,1
33,6,Motorcycle,2
78,13,Motorcycle,2
56,14,Motorcycle,0
22,6,Motorcycle,0
39,8,Truck,0
46,18,Motorcycle,1
72,15,SUV,1
20,7,Sedan,0
29,17,Truck,1
43,17,Motorcycle,0
33,19,Truck,1
68,6,Motorcycle,1
54,2,SUV,0
39,17,Sedan,1
74,9,Motorcycle,0
46,6,Motorcycle,0
31,16,Motorcycle,1
45,13,Motorcycle,0
22,2,Sedan,0
64,11,Sedan,0
66,12,SUV,2
47,1,Sedan,1
63,2,Motorcycle,2
79,4,SUV,2
69,10,SUV,0
22,7,SUV,0
29,11,Motorcycle,2
33,6,Truck,1
43,14,Motorcycle,2
43,16,Sedan,0
65,3,Sedan,1
38,12,Motorcycle,1
56,17,Motorcycle,0
53,0,SUV,1
50,15,Motorcycle,0
79,12,SUV,0
47,9,Sedan,1
54,11,SUV,1
40,1,Motorcycle,2
75,2,Sedan,0
27,9,Truck,0
71,1,SUV,1
22,12,Sedan,0
53,12,SUV,0
51,17,Sedan,0
69,2,Sedan,0
48,6,SUV,2
27,13,Truck,0
75,19,Sedan,0
36,16,Sedan,4
75,11,Sedan,2
49,15,Truck,1
18,11,Truck,1
73,14,Motorcycle,0
22,9,SUV,1
62,6,Truck,0
21,19,SUV,0
33,4,Motorcycle,1
41,0,SUV,0
33,16,Truck,2
72,2,SUV,2
19,12,Truck,0
66,13,SUV,0
45,17,Truck,0
49,3,Truck,0
44,17,SUV,0
37,4,Motorcycle,0
41,15,Sedan,1
29,0,Motorcycle,0
67,13,SUV,1
52,14,Motorcycle,0
77,8,Truck,1
50,14,Sedan,1
50,16,SUV,0
78,3,SUV,1
68,11,SUV,0
60,4,Sedan,0
54,4,Truck,0
29,10,SUV,1
20,5,Motorcycle,0
18,6,SUV,0
50,13,SUV,0
57,10,SUV,0
27,12,SUV,0
60,1,Truck,1
61,6,Motorcycle,0
46,19,Truck,0
30,3,Motorcycle,0
29,7,SUV,1
48,19,Sedan,0
63,18,Truck,0
19,12,Sedan,1
78,13,Truck,0
68,9,SUV,1
67,10,Truck,2
52,1,SUV,0
40,8,Truck,0
34,16,SUV,0
43,2,SUV,1
25,5,Motorcycle,0
46,4,SUV,1
43,4,Motorcycle,0
27,14,SUV,0
43,16,Sedan,0
79,8,SUV,1
51,2,Sedan,0
68,19,Sedan,0
58,16,SUV,0
24,9,Sedan,1
21,2,Motorcycle,0
75,17,Truck,1
70,17,SUV,0
67,16,Sedan,0
62,2,SUV,1
28,2,Motorcycle,0
46,5,SUV,1
73,12,SUV,0
53,14,Sedan,0
42,8,Motorcycle,0
38,3,Truck,1
78,13,Truck,0
74,4,Sedan,1
53,1,SUV,0
27,10,Sedan,0
54,8,Sedan,0
26,2,Sedan,0
41,8,SUV,1
52,2,Motorcycle,0
66,1,Sedan,1
52,11,SUV,0
65,9,Motorcycle,0
53,8,Sedan,0
35,14,Truck,0
66,7,Motorcycle,0
56,4,Sedan,0
49,10,Motorcycle,1
41,1,Motorcycle,1
40,14,Motorcycle,1
79,5,Motorcycle,1
49,7,Motorcycle,0
54,4,Motorcycle,0
29,15,Sedan,1
66,17,Truck,0
72,5,SUV,0
30,4,Motorcycle,0
40,15,SUV,0
42,12,Sedan,0
52,4,Motorcycle,3
58,12,Truck,2
47,16,SUV,1
34,17,Motorcycle,1
66,7,Sedan,0
79,12,Truck,0
37,18,SUV,3
65,2,SUV,0
42,7,Motorcycle,0
39,1,Truck,0
30,7,Truck,0
76,12,Truck,0
36,12,Truck,0
66,0,Sedan,0
53,5,Truck,1
29,18,SUV,1
78,15,SUV,0
58,7,Sedan,0
36,0,SUV,0
29,15,SUV,0
26,8,Truck,1
24,12,SUV,0
45,10,Sedan,0
31,12,Truck,2
48,9,Motorcycle,0
69,3,Truck,2
36,5,Sedan,1
75,6,Truck,2
64,4,Truck,0
33,10,Sedan,1
70,12,Truck,0
22,18,Sedan,1
52,9,Sedan,0
29,9,Motorcycle,0
42,10,SUV,0
69,6,SUV,0
76,17,Truck,0
38,3,Truck,0
53,1,Motorcycle,0
70,13,Motorcycle,1
40,12,Motorcycle,0
33,11,Sedan,1
74,6,Motorcycle,0
56,1,Motorcycle,0
62,12,Truck,1
70,13,Motorcycle,0
59,16,Sedan,1
75,8,Sedan,0
56,16,Truck,0
31,7,Motorcycle,1
48,1,Motorcycle,0
75,12,Sedan,0
22,2,Motorcycle,0
52,15,Motorcycle,1
40,5,Motorcycle,0
46,18,SUV,0
60,6,Truck,0
28,9,SUV,0
35,8,Truck,0
64,1,Sedan,0
29,14,Motorcycle,1
26,4,Truck,1
27,3,SUV,1
75,19,Motorcycle,0
61,3,Sedan,0
34,17,Truck,1
78,3,Truck,1
55,16,Truck,1
24,11,Motorcycle,1
63,16,SUV,1
30,9,SUV,1
57,0,Truck,1
59,17,Sedan,1
26,17,Sedan,2
67,13,SUV,0
44,14,Sedan,0
75,11,SUV,1
19,3,Truck,0
22,2,SUV,1
46,19,SUV,0
54,11,Truck,1
55,6,Sedan,0
36,10,SUV,1
25,0,SUV,0
65,5,Truck,0
62,14,Sedan,0
18,14,SUV,1
39,18,Truck,0
69,10,SUV,0
34,1,Motorcycle,0
24,13,Truck,0
42,1,Sedan,0
62,3,Sedan,0
21,16,Sedan,1
53,2,Sedan,0
23,12,SUV,0
77,8,SUV,1
48,6,Sedan,0
36,14,Sedan,0
78,10,Sedan,1
61,19,SUV,1
71,1,Sedan,0
56,14,Sedan,1
44,13,Motorcycle,3
27,19,Motorcycle,1
43,10,Sedan,1
36,2,Truck,1
56,16,Sedan,0
79,11,Motorcycle,0
20,14,Truck,1
62,15,Truck,0
30,4,Sedan,1
67,19,Motorcycle,0
45,5,Motorcycle,0
79,18,Truck,0
75,4,Sedan,0
37,2,SUV,0
45,0,SUV,0
25,5,Motorcycle,0
78,14,SUV,1
58,1,Motorcycle,0
56,2,Motorcycle,1
18,16,Motorcycle,0
20,11,SUV,2
30,17,Motorcycle,1
45,14,Truck,0
79,11,Sedan,1
74,15,Sedan,1
77,7,Motorcycle,0
66,13,Sedan,0
42,16,SUV,1
73,7,SUV,2
50,14,Sedan,2
55,13,SUV,0
70,17,Sedan,0
23,19,Sedan,0
75,6,Sedan,0
61,2,Motorcycle,1
62,11,Sedan,1
49,2,Motorcycle,0
62,19,Sedan,2
78,13,Sedan,0
64,14,Sedan,0
38,13,SUV,0
33,6,Motorcycle,0
71,16,Motorcycle,0
38,11,Sedan,0
28,19,Sedan,1
77,3,SUV,0
54,8,SUV,0
53,5,SUV,2
52,15,Motorcycle,1
36,1,Motorcycle,0
37,7,Motorcycle,0
74,10,Sedan,0
35,12,Motorcycle,2
64,16,Truck,1
58,7,Truck,0
66,17,SUV,0
31,17,Motorcycle,0
32,13,Truck,0
48,14,SUV,0
18,5,Motorcycle,0
70,10,Sedan,0
71,12,Truck,1
71,0,Sedan,1
20,5,Motorcycle,2
33,8,Truck,0
40,7,Motorcycle,1
74,10,Sedan,0
28,18,Truck,0
29,8,Sedan,0
27,16,Motorcycle,0
49,11,Motorcycle,2
33,13,Sedan,1
25,14,Truck,1
55,15,Sedan,0
29,19,Motorcycle,1
41,0,Sedan,2
45,9,Motorcycle,1
70,7,Sedan,1
25,17,Truck,1
75,0,Truck,2
45,1,Sedan,1
53,0,Sedan,0
43,0,Truck,1
25,8,Motorcycle,0
75,12,Truck,0
77,0,Motorcycle,0
67,12,Sedan,0
45,19,Sedan,1
45,6,Motorcycle,0
54,1,Sedan,0
58,5,Motorcycle,0
53,6,SUV,1
44,13,Truck,0
71,17,SUV,0
34,14,Motorcycle,0
26,1,Truck,0
50,9,Motorcycle,0
70,11,Truck,2
37,16,Truck,1
30,7,Truck,0
45,10,Truck,1
65,2,Motorcycle,1
46,5,Truck,0
30,8,Truck,0
63,5,SUV,1
52,8,Sedan,1
78,6,Sedan,0
23,8,SUV,0
35,17,SUV,0
68,11,Motorcycle,1
22,7,Motorcycle,2
64,7,Motorcycle,1
42,17,SUV,0
19,19,SUV,0
27,14,Truck,0
73,6,Motorcycle,0
47,10,Motorcycle,0
67,19,Motorcycle,0
76,15,Sedan,0
62,3,Truck,1
22,5,Motorcycle,0
72,2,Motorcycle,0
73,8,Motorcycle,1
50,9,Sedan,1
71,13,Sedan,0
18,10,SUV,0
35,17,Truck,0
49,11,SUV,0
64,11,Truck,0
66,12,Sedan,2
