age,tenure,vehicle_type,claims_history,claims_count
40,13,Truck,0,0
77,12,SUV,2,3
74,8,Motorcycle,0,0
79,14,Truck,3,4
57,14,Sedan,0,0
38,10,Motorcycle,0,0
33,15,SUV,0,0
62,16,Truck,0,1
35,3,SUV,1,1
64,0,Sedan,0,0
70,7,Truck,0,0
41,16,Sedan,0,1
43,2,Sedan,0,0
42,19,Motorcycle,0,0
77,14,SUV,0,0
77,14,Truck,2,2
77,13,Sedan,0,0
62,13,Sedan,1,2
58,1,Truck,0,0
46,12,Sedan,1,1
32,13,Motorcycle,1,1
62,18,Motorcycle,0,0
18,6,Motorcycle,0,0
42,2,Motorcycle,1,1
24,14,Sedan,0,0
26,13,Truck,1,2
41,10,Truck,0,0
18,14,Truck,1,2
61,12,Truck,2,3
25,17,SUV,0,0
41,5,Truck,1,2
28,2,SUV,1,1
68,18,SUV,0,0
34,14,Motorcycle,0,0
25,4,SUV,2,2
52,9,Sedan,0,0
52,6,SUV,1,1
50,16,Motorcycle,0,0
76,6,SUV,1,1
22,11,Sedan,1,2
59,16,Sedan,0,0
56,12,Sedan,0,0
75,19,Motorcycle,1,1
58,3,Motorcycle,1,1
45,9,Truck,1,1
24,2,Motorcycle,0,1
26,8,Sedan,1,1
25,12,Sedan,0,0
29,17,Motorcycle,1,2
51,14,SUV,1,2
50,3,Motorcycle,1,1
65,14,Motorcycle,0,0
72,1,Sedan,2,2
40,14,Truck,0,0
79,7,Sedan,1,1
41,7,Truck,1,1
54,16,Sedan,0,1
52,11,Motorcycle,0,0
61,18,Sedan,1,1
57,9,Sedan,0,0
39,8,Sedan,1,1
44,4,Motorcycle,1,1
52,5,Motorcycle,0,0
18,19,Motorcycle,0,1
52,1,Motorcycle,0,0
54,12,Truck,0,0
64,5,Truck,0,0
31,4,SUV,1,1
20,0,Motorcycle,0,0
18,5,Truck,0,0
22,5,Sedan,0,0
43,15,Motorcycle,0,1
72,3,SUV,0,0
31,10,SUV,0,0
56,8,SUV,0,0
44,2,Sedan,0,1
26,18,Truck,1,1
32,7,Sedan,0,0
32,4,Motorcycle,1,1
43,3,SUV,1,1
59,5,Sedan,0,0
77,1,Sedan,0,0
30,19,Truck,0,0
68,10,Truck,1,1
49,3,SUV,1,2
56,14,Sedan,0,0
66,5,Sedan,0,0
69,16,Truck,0,0
78,5,Sedan,0,1
49,18,Sedan,1,1
21,1,Sedan,0,1
47,14,Truck,3,3
54,10,SUV,1,1
40,7,Motorcycle,1,2
56,18,SUV,0,0
62,12,Motorcycle,1,1
32,11,Sedan,3,4
60,4,SUV,1,1
46,5,Motorcycle,0,0
53,3,Truck,1,1
30,18,Truck,0,0
49,19,SUV,1,1
24,0,SUV,0,0
76,19,Sedan,1,1
68,16,SUV,3,3
39,11,Sedan,0,0
45,14,Sedan,0,1
19,0,Truck,2,2
59,13,Truck,0,1
62,5,Motorcycle,0,0
79,4,Truck,0,0
74,10,Truck,1,1
70,3,SUV,2,2
23,12,Truck,1,1
45,10,Motorcycle,0,0
45,2,SUV,1,1
61,0,Motorcycle,1,2
61,5,Truck,0,0
37,17,Motorcycle,1,1
47,9,SUV,0,0
79,4,Sedan,0,0
28,9,Motorcycle,1,1
75,11,Motorcycle,2,2
72,1,SUV,0,1
45,12,SUV,0,0
42,7,Motorcycle,1,1
56,1,Truck,0,0
79,19,Motorcycle,0,0
50,0,SUV,1,1
18,4,Sedan,2,2
74,8,Sedan,1,1
44,16,Truck,1,1
79,8,Motorcycle,1,1
74,10,Sedan,0,0
69,14,Motorcycle,0,0
30,5,SUV,0,0
58,2,Sedan,0,0
20,16,Truck,0,1
56,4,SUV,0,1
23,11,Truck,0,1
25,17,SUV,1,1
44,13,Sedan,0,0
26,10,Truck,0,0
79,8,Truck,0,1
54,1,SUV,1,1
50,11,Truck,2,3
68,2,SUV,1,2
59,2,SUV,2,2
61,0,SUV,1,1
41,7,SUV,1,1
32,7,Sedan,0,1
76,10,SUV,0,0
71,8,Motorcycle,0,1
49,4,Truck,0,0
49,13,Motorcycle,0,0
41,2,Sedan,0,1
58,4,Motorcycle,0,0
69,4,Truck,1,1
66,18,Motorcycle,0,0
79,13,Sedan,1,1
66,3,SUV,0,0
75,12,Motorcycle,2,2
69,9,Sedan,0,1
29,17,Sedan,2,3
79,7,Truck,1,1
56,7,Truck,0,0
19,6,Motorcycle,0,0
20,7,SUV,1,1
66,13,Sedan,1,2
54,18,Motorcycle,0,0
66,5,Sedan,0,0
73,0,Sedan,1,1
34,14,SUV,0,0
76,0,SUV,1,1
66,16,Motorcycle,1,1
19,0,SUV,1,1
19,14,SUV,1,1
45,1,Motorcycle,0,0
71,13,SUV,0,0
40,7,Truck,0,0
54,7,Sedan,0,0
49,18,Sedan,1,1
50,6,Sedan,1,1
18,18,Sedan,1,1
36,5,Motorcycle,0,0
79,5,Sedan,2,3
19,2,Sedan,0,1
70,6,Sedan,0,0
61,18,Sedan,1,2
43,7,Truck,0,0
49,9,Sedan,1,1
23,19,Truck,0,0
49,14,Motorcycle,0,0
72,14,SUV,1,1
21,0,Sedan,0,0
72,19,SUV,0,0
28,6,SUV,0,0
73,3,Motorcycle,1,1
76,5,SUV,0,1
34,0,Truck,0,0
55,4,SUV,0,0
41,0,SUV,0,0
22,3,SUV,1,1
69,1,Sedan,2,2
51,9,Sedan,0,0
23,4,Truck,0,0
39,9,Truck,0,0
28,0,Sedan,0,0
65,5,Truck,0,0
33,12,Sedan,0,0
50,14,Motorcycle,1,1
26,3,SUV,1,1
77,12,SUV,1,1
76,19,Truck,0,1
23,14,Sedan,1,2
33,7,Sedan,0,1
46,4,Truck,1,1
20,14,Sedan,0,0
37,3,Motorcycle,2,2
77,11,SUV,0,0
76,12,Truck,1,1
53,1,Truck,2,2
36,18,Sedan,1,2
43,18,Truck,1,1
20,3,Motorcycle,0,1
36,3,Sedan,1,1
37,10,Sedan,1,1
49,4,Sedan,1,1
24,19,Sedan,0,0
69,10,Motorcycle,0,0
58,9,Sedan,1,1
50,7,Truck,0,0
57,5,Motorcycle,1,1
56,5,SUV,1,2
35,7,SUV,1,2
57,14,Truck,0,1
18,13,Truck,0,0
28,10,Motorcycle,0,0
45,11,SUV,0,0
74,12,SUV,0,0
42,7,SUV,1,1
67,17,SUV,0,0
40,0,SUV,3,3
48,14,Sedan,0,0
47,7,Truck,0,0
59,10,Sedan,0,0
52,11,SUV,0,0
24,11,Motorcycle,2,2
77,3,Motorcycle,0,0
33,15,SUV,1,1
43,3,SUV,0,0
65,4,Motorcycle,1,1
74,4,Sedan,0,0
69,7,Sedan,0,0
77,9,SUV,1,1
66,16,Sedan,0,0
19,8,Motorcycle,0,1
18,18,Sedan,0,0
65,13,SUV,0,0
79,7,Motorcycle,1,1
29,8,Sedan,1,1
22,10,Truck,0,0
54,0,Motorcycle,0,0
49,13,Motorcycle,0,0
76,4,Truck,0,0
72,13,Truck,0,0
26,3,Motorcycle,0,0
58,0,Truck,1,2
52,18,SUV,2,2
36,7,SUV,0,1
65,14,SUV,0,0
33,14,Motorcycle,0,1
20,8,Truck,0,1
37,8,Truck,1,1
41,9,Sedan,0,0
71,19,Sedan,1,1
73,8,Truck,1,1
50,2,Truck,0,0
41,19,Truck,0,0
69,10,Motorcycle,0,0
28,5,Truck,1,1
66,1,Sedan,1,2
25,6,Motorcycle,0,0
53,17,Truck,0,0
55,1,Sedan,0,0
57,16,Motorcycle,1,2
37,10,Truck,0,0
79,11,Truck,0,0
52,18,Truck,0,0
65,6,Motorcycle,0,0
79,19,Sedan,0,0
42,5,Sedan,1,2
52,0,SUV,0,0
42,16,Truck,0,0
46,10,SUV,0,1
35,17,SUV,1,1
63,16,Sedan,0,0
35,6,Motorcycle,1,2
19,16,Motorcycle,0,0
71,19,Sedan,3,3
52,8,Motorcycle,0,0
33,16,SUV,0,0
78,19,Truck,0,0
58,7,Sedan,1,1
53,16,Truck,1,1
50,6,Motorcycle,0,1
21,0,Truck,0,0
50,12,Motorcycle,1,2
31,18,Motorcycle,1,2
38,18,SUV,0,0
65,16,Motorcycle,0,0
37,12,SUV,1,1
73,15,SUV,1,1
25,7,SUV,1,2
24,18,Sedan,0,0
20,17,Sedan,0,0
34,0,Motorcycle,1,1
50,13,SUV,1,1
65,18,Sedan,1,1
29,14,SUV,1,1
76,17,Truck,0,0
68,1,Truck,0,0
39,16,Truck,0,0
72,17,Motorcycle,0,0
39,5,SUV,0,0
63,18,Truck,1,2
47,3,Sedan,0,0
55,0,Truck,1,1
55,7,Truck,0,0
62,6,Truck,2,2
68,2,Motorcycle,0,1
71,9,Sedan,1,1
25,9,SUV,0,0
44,18,Sedan,0,0
44,13,SUV,0,0
51,1,Motorcycle,0,0
38,0,Motorcycle,0,0
47,17,Motorcycle,0,0
50,6,Motorcycle,1,1
45,7,SUV,2,2
64,0,Truck,0,1
50,2,SUV,0,0
22,7,Sedan,0,0
77,14,Motorcycle,1,1
78,4,Motorcycle,1,2
65,2,Sedan,0,0
36,18,SUV,1,2
21,0,Truck,0,0
52,14,Truck,0,0
66,7,Sedan,0,0
34,1,Truck,0,0
61,2,SUV,1,1
45,13,SUV,1,1
47,13,Sedan,1,1
46,10,SUV,1,1
63,15,Motorcycle,1,1
70,3,Sedan,1,1
23,19,SUV,1,1
52,4,Sedan,2,2
77,13,Truck,1,1
58,15,SUV,0,0
54,17,Motorcycle,0,1
41,6,SUV,0,0
46,9,Sedan,1,1
66,6,Sedan,0,0
63,0,SUV,3,4
70,18,Motorcycle,1,1
48,15,Motorcycle,0,0
52,18,Motorcycle,1,2
77,3,Sedan,1,1
50,17,SUV,0,0
69,1,Truck,0,0
78,0,Sedan,1,1
38,14,Motorcycle,1,1
49,4,SUV,0,1
40,19,Motorcycle,1,1
50,10,Truck,0,1
20,9,Motorcycle,1,1
35,1,Motorcycle,0,0
42,2,Truck,0,0
59,11,SUV,1,1
48,19,Sedan,0,0
71,4,SUV,1,1
75,4,Truck,0,0
20,5,Motorcycle,0,0
57,8,SUV,0,0
63,1,Sedan,0,0
41,11,Truck,0,0
67,2,SUV,1,1
49,19,Sedan,0,0
64,11,Truck,0,1
39,16,Sedan,0,0
40,9,Truck,0,0
19,13,Motorcycle,1,1
44,16,SUV,2,2
59,17,Sedan,1,1
19,18,Truck,1,2
43,16,Sedan,0,1
34,13,Sedan,0,0
57,8,SUV,0,0
50,7,Motorcycle,0,0
26,1,Sedan,0,0
60,12,Truck,0,0
71,6,Truck,2,2
65,8,Motorcycle,0,0
56,10,Truck,2,2
46,13,Motorcycle,0,0
59,3,Truck,0,1
72,12,SUV,0,0
43,1,Sedan,0,0
52,4,SUV,1,1
67,10,Sedan,0,1
42,5,Sedan,1,2
41,17,Sedan,0,0
30,9,SUV,0,0
77,3,Sedan,1,1
75,8,SUV,2,2
24,5,Motorcycle,0,0
74,1,Truck,1,1
53,16,Truck,2,2
62,4,Sedan,0,0
37,5,SUV,2,2
18,11,Truck,0,1
25,9,SUV,0,0
63,5,SUV,2,2
33,7,Sedan,0,0
31,1,Truck,0,0
29,11,Sedan,1,1
68,12,Sedan,0,0
40,6,Truck,0,1
32,9,Truck,2,2
45,12,Motorcycle,0,0
51,16,Motorcycle,2,3
19,13,SUV,0,0
49,1,Truck,0,0
40,10,Motorcycle,1,1
39,0,SUV,0,0
68,18,SUV,1,1
42,3,SUV,0,0
75,18,Motorcycle,1,1
79,10,Truck,0,0
78,7,Sedan,0,0
39,10,SUV,1,1
75,3,Motorcycle,2,2
75,16,Motorcycle,1,2
39,6,Sedan,0,0
66,7,Sedan,0,0
69,2,Motorcycle,1,2
59,1,Truck,2,2
23,14,Sedan,1,1
32,4,Motorcycle,0,0
71,0,Sedan,0,0
60,3,Truck,0,0
77,14,SUV,1,1
54,19,Sedan,1,1
50,18,Truck,0,0
25,2,Motorcycle,1,2
70,19,Sedan,2,2
77,10,Sedan,1,2
61,16,Motorcycle,1,1
61,12,SUV,1,2
22,10,Motorcycle,2,2
56,1,Sedan,0,0
21,8,Motorcycle,1,1
23,1,Truck,0,0
62,8,Motorcycle,0,0
49,8,Sedan,0,1
69,7,Motorcycle,1,2
47,16,SUV,0,0
64,0,Motorcycle,0,0
52,10,SUV,0,0
72,7,Truck,0,0
57,9,SUV,0,0
69,6,Motorcycle,0,0
33,2,Sedan,0,1
30,2,SUV,1,1
67,17,Truck,1,1
77,4,SUV,0,0
59,11,SUV,1,1
47,11,SUV,1,1
36,18,Truck,0,0
34,5,Motorcycle,1,2
73,1,SUV,0,0
36,11,SUV,0,0
45,18,Sedan,0,1
75,4,Truck,2,2
72,11,SUV,0,0
43,16,Truck,0,0
54,16,SUV,0,0
43,9,Motorcycle,1,1
70,16,Motorcycle,1,1
79,14,SUV,0,0
40,11,Motorcycle,1,1
26,15,SUV,0,1
29,18,Motorcycle,1,1
70,7,Sedan,1,1
18,16,Sedan,2,2
75,4,Sedan,0,0
75,15,Truck,1,1
18,5,Truck,1,2
64,7,Sedan,1,2
51,17,Truck,1,1
49,11,Motorcycle,1,1
79,14,SUV,0,0
71,8,SUV,1,1
65,12,SUV,1,1
42,14,Sedan,0,1
57,9,Truck,0,0
62,15,Motorcycle,0,0
70,6,Motorcycle,0,0
18,16,Sedan,1,2
33,6,Motorcycle,2,2
78,13,Motorcycle,2,3
56,14,Motorcycle,0,0
22,6,Motorcycle,0,0
39,8,Truck,0,0
46,18,Motorcycle,1,1
72,15,SUV,1,1
20,7,Sedan,0,0
29,17,Truck,1,1
43,17,Motorcycle,0,0
33,19,Truck,1,1
68,6,Motorcycle,1,1
54,2,SUV,0,0
39,17,Sedan,1,1
74,9,Motorcycle,0,0
46,6,Motorcycle,0,0
31,16,Motorcycle,1,1
45,13,Motorcycle,0,0
22,2,Sedan,0,0
64,11,Sedan,0,0
66,12,SUV,2,2
47,1,Sedan,1,1
63,2,Motorcycle,2,2
79,4,SUV,2,2
69,10,SUV,0,0
22,7,SUV,0,0
29,11,Motorcycle,2,2
33,6,Truck,1,1
43,14,Motorcycle,2,2
43,16,Sedan,0,0
65,3,Sedan,1,1
38,12,Motorcycle,1,2
56,17,Motorcycle,0,0
53,0,SUV,1,1
50,15,Motorcycle,0,0
79,12,SUV,0,0
47,9,Sedan,1,1
54,11,SUV,1,1
40,1,Motorcycle,2,2
75,2,Sedan,0,0
27,9,Truck,0,1
71,1,SUV,1,1
22,12,Sedan,0,0
53,12,SUV,0,0
51,17,Sedan,0,0
69,2,Sedan,0,0
48,6,SUV,2,2
27,13,Truck,0,1
75,19,Sedan,0,0
36,16,Sedan,4,4
75,11,Sedan,2,3
49,15,Truck,1,1
18,11,Truck,1,2
73,14,Motorcycle,0,0
22,9,SUV,1,1
62,6,Truck,0,0
21,19,SUV,0,0
33,4,Motorcycle,1,1
41,0,SUV,0,0
33,16,Truck,2,3
72,2,SUV,2,2
19,12,Truck,0,0
66,13,SUV,0,0
45,17,Truck,0,0
49,3,Truck,0,0
44,17,SUV,0,0
37,4,Motorcycle,0,0
41,15,Sedan,1,1
29,0,Motorcycle,0,0
67,13,SUV,1,2
52,14,Motorcycle,0,0
77,8,Truck,1,1
50,14,Sedan,1,1
50,16,SUV,0,0
78,3,SUV,1,1
68,11,SUV,0,0
60,4,Sedan,0,0
54,4,Truck,0,0
29,10,SUV,1,1
20,5,Motorcycle,0,1
18,6,SUV,0,0
50,13,SUV,0,0
57,10,SUV,0,0
27,12,SUV,0,0
60,1,Truck,1,1
61,6,Motorcycle,0,0
46,19,Truck,0,0
30,3,Motorcycle,0,0
29,7,SUV,1,1
48,19,Sedan,0,0
63,18,Truck,0,0
19,12,Sedan,1,1
78,13,Truck,0,0
68,9,SUV,1,1
67,10,Truck,2,2
52,1,SUV,0,0
40,8,Truck,0,0
34,16,SUV,0,0
43,2,SUV,1,1
25,5,Motorcycle,0,0
46,4,SUV,1,1
43,4,Motorcycle,0,0
27,14,SUV,0,0
43,16,Sedan,0,0
79,8,SUV,1,1
51,2,Sedan,0,0
68,19,Sedan,0,1
58,16,SUV,0,0
24,9,Sedan,1,1
21,2,Motorcycle,0,1
75,17,Truck,1,2
70,17,SUV,0,0
67,16,Sedan,0,0
62,2,SUV,1,1
28,2,Motorcycle,0,0
46,5,SUV,1,1
73,12,SUV,0,0
53,14,Sedan,0,0
42,8,Motorcycle,0,1
38,3,Truck,1,1
78,13,Truck,0,0
74,4,Sedan,1,1
53,1,SUV,0,0
27,10,Sedan,0,0
54,8,Sedan,0,0
26,2,Sedan,0,0
41,8,SUV,1,1
52,2,Motorcycle,0,0
66,1,Sedan,1,2
52,11,SUV,0,0
65,9,Motorcycle,0,0
53,8,Sedan,0,0
35,14,Truck,0,0
66,7,Motorcycle,0,0
56,4,Sedan,0,0
49,10,Motorcycle,1,2
41,1,Motorcycle,1,2
40,14,Motorcycle,1,1
79,5,Motorcycle,1,1
49,7,Motorcycle,0,0
54,4,Motorcycle,0,0
29,15,Sedan,1,1
66,17,Truck,0,0
72,5,SUV,0,1
30,4,Motorcycle,0,0
40,15,SUV,0,1
42,12,Sedan,0,0
52,4,Motorcycle,3,3
58,12,Truck,2,2
47,16,SUV,1,1
34,17,Motorcycle,1,1
66,7,Sedan,0,1
79,12,Truck,0,0
37,18,SUV,3,4
65,2,SUV,0,1
42,7,Motorcycle,0,0
39,1,Truck,0,1
30,7,Truck,0,1
76,12,Truck,0,0
36,12,Truck,0,0
66,0,Sedan,0,1
53,5,Truck,1,1
29,18,SUV,1,1
78,15,SUV,0,1
58,7,Sedan,0,0
36,0,SUV,0,0
29,15,SUV,0,0
26,8,Truck,1,1
24,12,SUV,0,0
45,10,Sedan,0,1
31,12,Truck,2,2
48,9,Motorcycle,0,0
69,3,Truck,2,2
36,5,Sedan,1,1
75,6,Truck,2,2
64,4,Truck,0,1
33,10,Sedan,1,2
70,12,Truck,0,0
22,18,Sedan,1,1
52,9,Sedan,0,1
29,9,Motorcycle,0,1
42,10,SUV,0,0
69,6,SUV,0,0
76,17,Truck,0,0
38,3,Truck,0,1
53,1,Motorcycle,0,0
70,13,Motorcycle,1,1
40,12,Motorcycle,0,0
33,11,Sedan,1,2
74,6,Motorcycle,0,0
56,1,Motorcycle,0,0
62,12,Truck,1,1
70,13,Motorcycle,0,0
59,16,Sedan,1,1
75,8,Sedan,0,1
56,16,Truck,0,1
31,7,Motorcycle,1,2
48,1,Motorcycle,0,1
75,12,Sedan,0,0
22,2,Motorcycle,0,1
52,15,Motorcycle,1,1
40,5,Motorcycle,0,0
46,18,SUV,0,1
60,6,Truck,0,0
28,9,SUV,0,0
35,8,Truck,0,0
64,1,Sedan,0,0
29,14,Motorcycle,1,1
26,4,Truck,1,2
27,3,SUV,1,2
75,19,Motorcycle,0,0
61,3,Sedan,0,0
34,17,Truck,1,1
78,3,Truck,1,2
55,16,Truck,1,1
24,11,Motorcycle,1,1
63,16,SUV,1,1
30,9,SUV,1,1
57,0,Truck,1,1
59,17,Sedan,1,2
26,17,Sedan,2,2
67,13,SUV,0,0
44,14,Sedan,0,0
75,11,SUV,1,1
19,3,Truck,0,0
22,2,SUV,1,1
46,19,SUV,0,0
54,11,Truck,1,1
55,6,Sedan,0,1
36,10,SUV,1,1
25,0,SUV,0,1
65,5,Truck,0,0
62,14,Sedan,0,0
18,14,SUV,1,1
39,18,Truck,0,0
69,10,SUV,0,0
34,1,Motorcycle,0,0
24,13,Truck,0,0
42,1,Sedan,0,0
62,3,Sedan,0,0
21,16,Sedan,1,1
53,2,Sedan,0,0
23,12,SUV,0,0
77,8,SUV,1,1
48,6,Sedan,0,0
36,14,Sedan,0,0
78,10,Sedan,1,1
61,19,SUV,1,2
71,1,Sedan,0,1
56,14,Sedan,1,1
44,13,Motorcycle,3,3
27,19,Motorcycle,1,1
43,10,Sedan,1,1
36,2,Truck,1,2
56,16,Sedan,0,0
79,11,Motorcycle,0,0
20,14,Truck,1,1
62,15,Truck,0,0
30,4,Sedan,1,1
67,19,Motorcycle,0,0
45,5,Motorcycle,0,1
79,18,Truck,0,0
75,4,Sedan,0,0
37,2,SUV,0,1
45,0,SUV,0,0
25,5,Motorcycle,0,1
78,14,SUV,1,2
58,1,Motorcycle,0,0
56,2,Motorcycle,1,1
18,16,Motorcycle,0,0
20,11,SUV,2,3
30,17,Motorcycle,1,1
45,14,Truck,0,0
79,11,Sedan,1,2
74,15,Sedan,1,2
77,7,Motorcycle,0,1
66,13,Sedan,0,0
42,16,SUV,1,2
73,7,SUV,2,2
50,14,Sedan,2,3
55,13,SUV,0,0
70,17,Sedan,0,0
23,19,Sedan,0,0
75,6,Sedan,0,0
61,2,Motorcycle,1,1
62,11,Sedan,1,1
49,2,Motorcycle,0,0
62,19,Sedan,2,2
78,13,Sedan,0,1
64,14,Sedan,0,0
38,13,SUV,0,0
33,6,Motorcycle,0,0
71,16,Motorcycle,0,0
38,11,Sedan,0,0
28,19,Sedan,1,1
77,3,SUV,0,0
54,8,SUV,0,1
53,5,SUV,2,3
52,15,Motorcycle,1,1
36,1,Motorcycle,0,1
37,7,Motorcycle,0,0
74,10,Sedan,0,0
35,12,Motorcycle,2,2
64,16,Truck,1,1
58,7,Truck,0,0
66,17,SUV,0,0
31,17,Motorcycle,0,0
32,13,Truck,0,0
48,14,SUV,0,0
18,5,Motorcycle,0,0
70,10,Sedan,0,0
71,12,Truck,1,1
71,0,Sedan,1,1
20,5,Motorcycle,2,2
33,8,Truck,0,1
40,7,Motorcycle,1,1
74,10,Sedan,0,0
28,18,Truck,0,0
29,8,Sedan,0,0
27,16,Motorcycle,0,0
49,11,Motorcycle,2,2
33,13,Sedan,1,1
25,14,Truck,1,1
55,15,Sedan,0,0
29,19,Motorcycle,1,1
41,0,Sedan,2,2
45,9,Motorcycle,1,1
70,7,Sedan,1,1
25,17,Truck,1,1
75,0,Truck,2,2
45,1,Sedan,1,1
53,0,Sedan,0,0
43,0,Truck,1,1
25,8,Motorcycle,0,1
75,12,Truck,0,0
77,0,Motorcycle,0,1
67,12,Sedan,0,0
45,19,Sedan,1,1
45,6,Motorcycle,0,0
54,1,Sedan,0,0
58,5,Motorcycle,0,0
53,6,SUV,1,1
44,13,Truck,0,0
71,17,SUV,0,0
34,14,Motorcycle,0,0
26,1,Truck,0,1
50,9,Motorcycle,0,0
70,11,Truck,2,2
37,16,Truck,1,1
30,7,Truck,0,0
45,10,Truck,1,1
65,2,Motorcycle,1,2
46,5,Truck,0,0
30,8,Truck,0,0
63,5,SUV,1,1
52,8,Sedan,1,2
78,6,Sedan,0,0
23,8,SUV,0,0
35,17,SUV,0,1
68,11,Motorcycle,1,1
22,7,Motorcycle,2,3
64,7,Motorcycle,1,1
42,17,SUV,0,0
19,19,SUV,0,0
27,14,Truck,0,0
73,6,Motorcycle,0,1
47,10,Motorcycle,0,0
67,19,Motorcycle,0,0
76,15,Sedan,0,0
62,3,Truck,1,1
22,5,Motorcycle,0,0
72,2,Motorcycle,0,0
73,8,Motorcycle,1,1
50,9,Sedan,1,1
71,13,Sedan,0,0
18,10,SUV,0,0
35,17,Truck,0,0
49,11,SUV,0,1
64,11,Truck,0,1
66,12,Sedan,2,2
